SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,12,3,Florida,Baker County,4,9,1880,1011,869
50,12,3,Florida,Baker County,4,10,1706,915,791
50,12,3,Florida,Baker County,4,11,1482,792,690
50,12,3,Florida,Baker County,4,12,1143,574,569
50,12,3,Florida,Baker County,4,13,922,468,454
50,12,3,Florida,Baker County,4,14,745,377,368
50,12,3,Florida,Baker County,4,15,540,245,295
50,12,3,Florida,Baker County,4,16,386,172,214
50,12,3,Florida,Baker County,4,17,246,64,182
50,12,3,Florida,Baker County,4,18,188,55,133
50,12,3,Florida,Baker County,5,0,23143,12137,11006
50,12,3,Florida,Baker County,5,1,1736,853,883
50,12,3,Florida,Baker County,5,2,1579,824,755
50,12,3,Florida,Baker County,5,3,1740,903,837
50,12,3,Florida,Baker County,5,4,1830,982,848
50,12,3,Florida,Baker County,5,5,1737,956,781
50,12,3,Florida,Baker County,5,6,1492,847,645
50,12,3,Florida,Baker County,5,7,1724,968,756
50,12,3,Florida,Baker County,5,8,1757,973,784
50,12,3,Florida,Baker County,5,9,1926,1044,882
50,12,3,Florida,Baker County,5,10,1728,919,809
50,12,3,Florida,Baker County,5,11,1539,810,729
50,12,3,Florida,Baker County,5,12,1224,638,586
50,12,3,Florida,Baker County,5,13,955,465,490
50,12,3,Florida,Baker County,5,14,767,377,390
50,12,3,Florida,Baker County,5,15,541,267,274
50,12,3,Florida,Baker County,5,16,430,183,247
50,12,3,Florida,Baker County,5,17,243,71,172
50,12,3,Florida,Baker County,5,18,195,57,138
50,12,3,Florida,Baker County,6,0,23285,12264,11021
50,12,3,Florida,Baker County,6,1,1757,883,874
50,12,3,Florida,Baker County,6,2,1505,786,719
50,12,3,Florida,Baker County,6,3,1775,924,851
50,12,3,Florida,Baker County,6,4,1755,938,817
50,12,3,Florida,Baker County,6,5,1708,971,737
50,12,3,Florida,Baker County,6,6,1540,858,682
50,12,3,Florida,Baker County,6,7,1706,953,753
50,12,3,Florida,Baker County,6,8,1766,1003,763
50,12,3,Florida,Baker County,6,9,1931,1039,892
50,12,3,Florida,Baker County,6,10,1763,956,807
50,12,3,Florida,Baker County,6,11,1562,808,754
50,12,3,Florida,Baker County,6,12,1304,684,620
50,12,3,Florida,Baker County,6,13,974,472,502
50,12,3,Florida,Baker County,6,14,801,403,398
50,12,3,Florida,Baker County,6,15,531,265,266
50,12,3,Florida,Baker County,6,16,443,183,260
50,12,3,Florida,Baker County,6,17,255,80,175
50,12,3,Florida,Baker County,6,18,209,58,151
50,12,3,Florida,Baker County,7,0,23789,12536,11253
50,12,3,Florida,Baker County,7,1,1823,924,899
50,12,3,Florida,Baker County,7,2,1534,767,767
50,12,3,Florida,Baker County,7,3,1730,921,809
50,12,3,Florida,Baker County,7,4,1806,958,848
50,12,3,Florida,Baker County,7,5,1802,1025,777
50,12,3,Florida,Baker County,7,6,1543,870,673
50,12,3,Florida,Baker County,7,7,1745,984,761
50,12,3,Florida,Baker County,7,8,1782,1014,768
50,12,3,Florida,Baker County,7,9,1980,1066,914
50,12,3,Florida,Baker County,7,10,1759,963,796
50,12,3,Florida,Baker County,7,11,1625,830,795
50,12,3,Florida,Baker County,7,12,1329,688,641
50,12,3,Florida,Baker County,7,13,1025,499,526
50,12,3,Florida,Baker County,7,14,793,408,385
50,12,3,Florida,Baker County,7,15,599,289,310
50,12,3,Florida,Baker County,7,16,434,186,248
50,12,3,Florida,Baker County,7,17,274,90,184
50,12,3,Florida,Baker County,7,18,206,54,152
50,12,3,Florida,Baker County,8,0,24382,12834,11548
50,12,3,Florida,Baker County,8,1,1879,961,918
50,12,3,Florida,Baker County,8,2,1648,813,835
50,12,3,Florida,Baker County,8,3,1684,892,792
50,12,3,Florida,Baker County,8,4,1808,965,843
50,12,3,Florida,Baker County,8,5,1830,1019,811
50,12,3,Florida,Baker County,8,6,1688,973,715
50,12,3,Florida,Baker County,8,7,1704,967,737
50,12,3,Florida,Baker County,8,8,1789,1009,780
50,12,3,Florida,Baker County,8,9,1956,1066,890
50,12,3,Florida,Baker County,8,10,1894,1003,891
50,12,3,Florida,Baker County,8,11,1628,852,776
50,12,3,Florida,Baker County,8,12,1434,725,709
50,12,3,Florida,Baker County,8,13,1028,509,519
50,12,3,Florida,Baker County,8,14,833,431,402
50,12,3,Florida,Baker County,8,15,614,294,320
50,12,3,Florida,Baker County,8,16,454,194,260
50,12,3,Florida,Baker County,8,17,284,101,183
50,12,3,Florida,Baker County,8,18,227,60,167
50,12,3,Florida,Baker County,9,0,25021,13150,11871
50,12,3,Florida,Baker County,9,1,1853,970,883
50,12,3,Florida,Baker County,9,2,1749,855,894
50,12,3,Florida,Baker County,9,3,1753,919,834
50,12,3,Florida,Baker County,9,4,1847,989,858
50,12,3,Florida,Baker County,9,5,1842,1050,792
50,12,3,Florida,Baker County,9,6,1788,982,806
50,12,3,Florida,Baker County,9,7,1694,959,735
50,12,3,Florida,Baker County,9,8,1861,1055,806
50,12,3,Florida,Baker County,9,9,1881,1031,850
50,12,3,Florida,Baker County,9,10,1980,1053,927
50,12,3,Florida,Baker County,9,11,1679,869,810
50,12,3,Florida,Baker County,9,12,1469,755,714
50,12,3,Florida,Baker County,9,13,1075,523,552
50,12,3,Florida,Baker County,9,14,860,434,426
50,12,3,Florida,Baker County,9,15,655,318,337
50,12,3,Florida,Baker County,9,16,446,189,257
50,12,3,Florida,Baker County,9,17,327,127,200
50,12,3,Florida,Baker County,9,18,262,72,190
50,12,3,Florida,Baker County,10,0,25605,13483,12122
50,12,3,Florida,Baker County,10,1,1944,1019,925
50,12,3,Florida,Baker County,10,2,1859,918,941
50,12,3,Florida,Baker County,10,3,1686,876,810
50,12,3,Florida,Baker County,10,4,1790,979,811
50,12,3,Florida,Baker County,10,5,1870,1080,790
50,12,3,Florida,Baker County,10,6,1977,1066,911
50,12,3,Florida,Baker County,10,7,1672,975,697
50,12,3,Florida,Baker County,10,8,1955,1081,874
50,12,3,Florida,Baker County,10,9,1829,1013,816
50,12,3,Florida,Baker County,10,10,2013,1083,930
50,12,3,Florida,Baker County,10,11,1732,884,848
50,12,3,Florida,Baker County,10,12,1520,769,751
50,12,3,Florida,Baker County,10,13,1163,585,578
50,12,3,Florida,Baker County,10,14,884,433,451
50,12,3,Florida,Baker County,10,15,674,309,365
50,12,3,Florida,Baker County,10,16,419,201,218
50,12,3,Florida,Baker County,10,17,356,130,226
50,12,3,Florida,Baker County,10,18,262,82,180
50,12,3,Florida,Baker County,11,0,26048,13714,12334
50,12,3,Florida,Baker County,11,1,1998,1041,957
50,12,3,Florida,Baker County,11,2,1903,961,942
50,12,3,Florida,Baker County,11,3,1703,886,817
50,12,3,Florida,Baker County,11,4,1828,994,834
50,12,3,Florida,Baker County,11,5,1848,1059,789
50,12,3,Florida,Baker County,11,6,1980,1093,887
50,12,3,Florida,Baker County,11,7,1756,998,758
50,12,3,Florida,Baker County,11,8,1920,1053,867
50,12,3,Florida,Baker County,11,9,1888,1065,823
50,12,3,Florida,Baker County,11,10,1989,1061,928
50,12,3,Florida,Baker County,11,11,1769,912,857
50,12,3,Florida,Baker County,11,12,1509,754,755
50,12,3,Florida,Baker County,11,13,1237,626,611
50,12,3,Florida,Baker County,11,14,924,449,475
50,12,3,Florida,Baker County,11,15,711,335,376
50,12,3,Florida,Baker County,11,16,441,206,235
50,12,3,Florida,Baker County,11,17,368,134,234
50,12,3,Florida,Baker County,11,18,276,87,189
50,12,3,Florida,Baker County,12,0,26336,13857,12479
50,12,3,Florida,Baker County,12,1,2010,1057,953
50,12,3,Florida,Baker County,12,2,1986,1010,976
50,12,3,Florida,Baker County,12,3,1691,847,844
50,12,3,Florida,Baker County,12,4,1755,972,783
50,12,3,Florida,Baker County,12,5,1831,1047,784
50,12,3,Florida,Baker County,12,6,2043,1125,918
50,12,3,Florida,Baker County,12,7,1752,1004,748
50,12,3,Florida,Baker County,12,8,1954,1076,878
50,12,3,Florida,Baker County,12,9,1849,1039,810
50,12,3,Florida,Baker County,12,10,2040,1087,953
50,12,3,Florida,Baker County,12,11,1744,910,834
50,12,3,Florida,Baker County,12,12,1587,778,809
50,12,3,Florida,Baker County,12,13,1262,632,630
50,12,3,Florida,Baker County,12,14,959,465,494
50,12,3,Florida,Baker County,12,15,716,349,367
50,12,3,Florida,Baker County,12,16,498,226,272
50,12,3,Florida,Baker County,12,17,367,138,229
50,12,3,Florida,Baker County,12,18,292,95,197
50,12,5,Florida,Bay County,1,0,148217,73406,74811
50,12,5,Florida,Bay County,1,1,8979,4639,4340
50,12,5,Florida,Bay County,1,2,10103,5210,4893
50,12,5,Florida,Bay County,1,3,10331,5275,5056
50,12,5,Florida,Bay County,1,4,10117,5204,4913
50,12,5,Florida,Bay County,1,5,8955,4659,4296
50,12,5,Florida,Bay County,1,6,9661,4909,4752
50,12,5,Florida,Bay County,1,7,10078,5126,4952
50,12,5,Florida,Bay County,1,8,12604,6383,6221
50,12,5,Florida,Bay County,1,9,12394,6162,6232
50,12,5,Florida,Bay County,1,10,10626,5203,5423
50,12,5,Florida,Bay County,1,11,9738,4831,4907
50,12,5,Florida,Bay County,1,12,7895,3862,4033
50,12,5,Florida,Bay County,1,13,6919,3269,3650
50,12,5,Florida,Bay County,1,14,6188,2978,3210
50,12,5,Florida,Bay County,1,15,5554,2561,2993
50,12,5,Florida,Bay County,1,16,4044,1661,2383
50,12,5,Florida,Bay County,1,17,2280,924,1356
50,12,5,Florida,Bay County,1,18,1751,550,1201
50,12,5,Florida,Bay County,2,0,148218,73406,74812
50,12,5,Florida,Bay County,2,1,8979,4639,4340
50,12,5,Florida,Bay County,2,2,10103,5210,4893
50,12,5,Florida,Bay County,2,3,10331,5275,5056
50,12,5,Florida,Bay County,2,4,10117,5204,4913
50,12,5,Florida,Bay County,2,5,8955,4659,4296
50,12,5,Florida,Bay County,2,6,9661,4909,4752
50,12,5,Florida,Bay County,2,7,10078,5126,4952
50,12,5,Florida,Bay County,2,8,12604,6383,6221
50,12,5,Florida,Bay County,2,9,12394,6162,6232
50,12,5,Florida,Bay County,2,10,10626,5203,5423
50,12,5,Florida,Bay County,2,11,9738,4831,4907
50,12,5,Florida,Bay County,2,12,7895,3862,4033
50,12,5,Florida,Bay County,2,13,6919,3269,3650
50,12,5,Florida,Bay County,2,14,6189,2978,3211
50,12,5,Florida,Bay County,2,15,5554,2561,2993
50,12,5,Florida,Bay County,2,16,4044,1661,2383
50,12,5,Florida,Bay County,2,17,2280,924,1356
50,12,5,Florida,Bay County,2,18,1751,550,1201
50,12,5,Florida,Bay County,3,0,148258,73426,74832
50,12,5,Florida,Bay County,3,1,8958,4628,4330
50,12,5,Florida,Bay County,3,2,10030,5172,4858
50,12,5,Florida,Bay County,3,3,10344,5282,5062
50,12,5,Florida,Bay County,3,4,10111,5204,4907
50,12,5,Florida,Bay County,3,5,9021,4696,4325
50,12,5,Florida,Bay County,3,6,9577,4868,4709
