SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,12,3,Florida,Baker County,6,10,1804,1012,792
50,12,3,Florida,Baker County,6,11,1685,863,822
50,12,3,Florida,Baker County,6,12,1366,699,667
50,12,3,Florida,Baker County,6,13,1066,524,542
50,12,3,Florida,Baker County,6,14,862,442,420
50,12,3,Florida,Baker County,6,15,594,289,305
50,12,3,Florida,Baker County,6,16,425,182,243
50,12,3,Florida,Baker County,6,17,265,83,182
50,12,3,Florida,Baker County,6,18,184,45,139
50,12,3,Florida,Baker County,6,99,24142,12729,11413
50,12,3,Florida,Baker County,7,0,375,190,185
50,12,3,Florida,Baker County,7,1,1491,762,729
50,12,3,Florida,Baker County,7,2,1727,860,867
50,12,3,Florida,Baker County,7,3,1795,973,822
50,12,3,Florida,Baker County,7,4,1878,988,890
50,12,3,Florida,Baker County,7,5,1786,958,828
50,12,3,Florida,Baker County,7,6,1653,949,704
50,12,3,Florida,Baker County,7,7,1703,938,765
50,12,3,Florida,Baker County,7,8,1781,1019,762
50,12,3,Florida,Baker County,7,9,1978,1059,919
50,12,3,Florida,Baker County,7,10,1956,1071,885
50,12,3,Florida,Baker County,7,11,1680,883,797
50,12,3,Florida,Baker County,7,12,1502,756,746
50,12,3,Florida,Baker County,7,13,1086,545,541
50,12,3,Florida,Baker County,7,14,908,475,433
50,12,3,Florida,Baker County,7,15,612,301,311
50,12,3,Florida,Baker County,7,16,441,187,254
50,12,3,Florida,Baker County,7,17,273,93,180
50,12,3,Florida,Baker County,7,18,207,50,157
50,12,3,Florida,Baker County,7,99,24832,13057,11775
50,12,3,Florida,Baker County,8,0,359,177,182
50,12,3,Florida,Baker County,8,1,1479,757,722
50,12,3,Florida,Baker County,8,2,1847,917,930
50,12,3,Florida,Baker County,8,3,1883,1013,870
50,12,3,Florida,Baker County,8,4,1917,1007,910
50,12,3,Florida,Baker County,8,5,1811,978,833
50,12,3,Florida,Baker County,8,6,1732,955,777
50,12,3,Florida,Baker County,8,7,1705,937,768
50,12,3,Florida,Baker County,8,8,1856,1046,810
50,12,3,Florida,Baker County,8,9,1920,1035,885
50,12,3,Florida,Baker County,8,10,2043,1127,916
50,12,3,Florida,Baker County,8,11,1744,893,851
50,12,3,Florida,Baker County,8,12,1558,798,760
50,12,3,Florida,Baker County,8,13,1141,554,587
50,12,3,Florida,Baker County,8,14,942,479,463
50,12,3,Florida,Baker County,8,15,664,336,328
50,12,3,Florida,Baker County,8,16,431,186,245
50,12,3,Florida,Baker County,8,17,305,106,199
50,12,3,Florida,Baker County,8,18,234,58,176
50,12,3,Florida,Baker County,8,99,25571,13359,12212
50,12,3,Florida,Baker County,9,0,391,195,196
50,12,3,Florida,Baker County,9,1,1531,786,745
50,12,3,Florida,Baker County,9,2,1935,953,982
50,12,3,Florida,Baker County,9,3,1851,961,890
50,12,3,Florida,Baker County,9,4,1895,1025,870
50,12,3,Florida,Baker County,9,5,1829,999,830
50,12,3,Florida,Baker County,9,6,1858,1016,842
50,12,3,Florida,Baker County,9,7,1709,971,738
50,12,3,Florida,Baker County,9,8,1916,1052,864
50,12,3,Florida,Baker County,9,9,1879,1029,850
50,12,3,Florida,Baker County,9,10,2093,1153,940
50,12,3,Florida,Baker County,9,11,1816,927,889
50,12,3,Florida,Baker County,9,12,1620,824,796
50,12,3,Florida,Baker County,9,13,1265,640,625
50,12,3,Florida,Baker County,9,14,953,471,482
50,12,3,Florida,Baker County,9,15,696,334,362
50,12,3,Florida,Baker County,9,16,413,194,219
50,12,3,Florida,Baker County,9,17,344,106,238
50,12,3,Florida,Baker County,9,18,218,62,156
50,12,3,Florida,Baker County,9,99,26212,13698,12514
50,12,3,Florida,Baker County,10,0,380,186,194
50,12,3,Florida,Baker County,10,1,1597,826,771
50,12,3,Florida,Baker County,10,2,1970,977,993
50,12,3,Florida,Baker County,10,3,1873,983,890
50,12,3,Florida,Baker County,10,4,1934,1022,912
50,12,3,Florida,Baker County,10,5,1834,981,853
50,12,3,Florida,Baker County,10,6,1879,1053,826
50,12,3,Florida,Baker County,10,7,1747,968,779
50,12,3,Florida,Baker County,10,8,1897,1046,851
50,12,3,Florida,Baker County,10,9,1944,1083,861
50,12,3,Florida,Baker County,10,10,2066,1134,932
50,12,3,Florida,Baker County,10,11,1861,933,928
50,12,3,Florida,Baker County,10,12,1649,836,813
50,12,3,Florida,Baker County,10,13,1339,664,675
50,12,3,Florida,Baker County,10,14,1004,501,503
50,12,3,Florida,Baker County,10,15,729,352,377
50,12,3,Florida,Baker County,10,16,446,215,231
50,12,3,Florida,Baker County,10,17,361,117,244
50,12,3,Florida,Baker County,10,18,215,60,155
50,12,3,Florida,Baker County,10,99,26725,13937,12788
50,12,3,Florida,Baker County,11,0,376,180,196
50,12,3,Florida,Baker County,11,1,1611,863,748
50,12,3,Florida,Baker County,11,2,2009,999,1010
50,12,3,Florida,Baker County,11,3,1926,971,955
50,12,3,Florida,Baker County,11,4,1922,1033,889
50,12,3,Florida,Baker County,11,5,1793,980,813
50,12,3,Florida,Baker County,11,6,1928,1046,882
50,12,3,Florida,Baker County,11,7,1759,978,781
50,12,3,Florida,Baker County,11,8,1901,1066,835
50,12,3,Florida,Baker County,11,9,1924,1063,861
50,12,3,Florida,Baker County,11,10,2128,1163,965
50,12,3,Florida,Baker County,11,11,1876,974,902
50,12,3,Florida,Baker County,11,12,1706,835,871
50,12,3,Florida,Baker County,11,13,1390,685,705
50,12,3,Florida,Baker County,11,14,1049,529,520
50,12,3,Florida,Baker County,11,15,750,376,374
50,12,3,Florida,Baker County,11,16,494,219,275
50,12,3,Florida,Baker County,11,17,356,133,223
50,12,3,Florida,Baker County,11,18,226,63,163
50,12,3,Florida,Baker County,11,99,27124,14156,12968
50,12,3,Florida,Baker County,12,0,351,167,184
50,12,3,Florida,Baker County,12,1,1582,837,745
50,12,3,Florida,Baker County,12,2,1991,998,993
50,12,3,Florida,Baker County,12,3,1962,1006,956
50,12,3,Florida,Baker County,12,4,1877,1006,871
50,12,3,Florida,Baker County,12,5,1766,966,800
50,12,3,Florida,Baker County,12,6,1893,1037,856
50,12,3,Florida,Baker County,12,7,1782,998,784
50,12,3,Florida,Baker County,12,8,1853,1031,822
50,12,3,Florida,Baker County,12,9,1931,1062,869
50,12,3,Florida,Baker County,12,10,2088,1150,938
50,12,3,Florida,Baker County,12,11,1930,975,955
50,12,3,Florida,Baker County,12,12,1692,853,839
50,12,3,Florida,Baker County,12,13,1461,713,748
50,12,3,Florida,Baker County,12,14,1063,538,525
50,12,3,Florida,Baker County,12,15,766,384,382
50,12,3,Florida,Baker County,12,16,520,225,295
50,12,3,Florida,Baker County,12,17,368,145,223
50,12,3,Florida,Baker County,12,18,239,69,170
50,12,3,Florida,Baker County,12,99,27115,14160,12955
50,12,3,Florida,Baker County,13,0,352,168,184
